,beta,edge_num,gamma,lamuda10:,lamuda1:,lamuda2:,lamuda3:,lamuda4:,lamuda5:,lamuda6:,lamuda7:,lamuda8:,lamuda9:,node_num
130,0.075390625,20,0.1,0.209717116,4.176976121,-3.127965618,-2.014050966,-1.806574842,1.688352095,1.46101422,-0.498403228,-0.333616306,0.244551407,10
131,0.142578125,20,0.2,0.209717116,4.176976121,-3.127965618,-2.014050966,-1.806574842,1.688352095,1.46101422,-0.498403228,-0.333616306,0.244551407,10
132,0.212402344,20,0.3,0.209717116,4.176976121,-3.127965618,-2.014050966,-1.806574842,1.688352095,1.46101422,-0.498403228,-0.333616306,0.244551407,10
133,0.274609375,20,0.4,0.209717116,4.176976121,-3.127965618,-2.014050966,-1.806574842,1.688352095,1.46101422,-0.498403228,-0.333616306,0.244551407,10
134,0.351074219,20,0.5,0.209717116,4.176976121,-3.127965618,-2.014050966,-1.806574842,1.688352095,1.46101422,-0.498403228,-0.333616306,0.244551407,10
135,0.416894531,20,0.6,0.209717116,4.176976121,-3.127965618,-2.014050966,-1.806574842,1.688352095,1.46101422,-0.498403228,-0.333616306,0.244551407,10
136,0.486376953,20,0.7,0.209717116,4.176976121,-3.127965618,-2.014050966,-1.806574842,1.688352095,1.46101422,-0.498403228,-0.333616306,0.244551407,10
137,0.579296875,20,0.8,0.209717116,4.176976121,-3.127965618,-2.014050966,-1.806574842,1.688352095,1.46101422,-0.498403228,-0.333616306,0.244551407,10
138,0.632373047,20,0.9,0.209717116,4.176976121,-3.127965618,-2.014050966,-1.806574842,1.688352095,1.46101422,-0.498403228,-0.333616306,0.244551407,10
139,0.721191406,20,1,0.209717116,4.176976121,-3.127965618,-2.014050966,-1.806574842,1.688352095,1.46101422,-0.498403228,-0.333616306,0.244551407,10
140,0.072265625,20,0.1,0.253884241,4.147905586,-2.786366033,-2.328252489,-1.955029175,1.731612551,-0.916050391,1.135192791,-0.053926617,0.771029536,10
141,0.145703125,20,0.2,0.253884241,4.147905586,-2.786366033,-2.328252489,-1.955029175,1.731612551,-0.916050391,1.135192791,-0.053926617,0.771029536,10
142,0.205371094,20,0.3,0.253884241,4.147905586,-2.786366033,-2.328252489,-1.955029175,1.731612551,-0.916050391,1.135192791,-0.053926617,0.771029536,10
143,0.283984375,20,0.4,0.253884241,4.147905586,-2.786366033,-2.328252489,-1.955029175,1.731612551,-0.916050391,1.135192791,-0.053926617,0.771029536,10
144,0.348144531,20,0.5,0.253884241,4.147905586,-2.786366033,-2.328252489,-1.955029175,1.731612551,-0.916050391,1.135192791,-0.053926617,0.771029536,10
145,0.423339844,20,0.6,0.253884241,4.147905586,-2.786366033,-2.328252489,-1.955029175,1.731612551,-0.916050391,1.135192791,-0.053926617,0.771029536,10
146,0.526708984,20,0.7,0.253884241,4.147905586,-2.786366033,-2.328252489,-1.955029175,1.731612551,-0.916050391,1.135192791,-0.053926617,0.771029536,10
147,0.566015625,20,0.8,0.253884241,4.147905586,-2.786366033,-2.328252489,-1.955029175,1.731612551,-0.916050391,1.135192791,-0.053926617,0.771029536,10
148,0.614794922,20,0.9,0.253884241,4.147905586,-2.786366033,-2.328252489,-1.955029175,1.731612551,-0.916050391,1.135192791,-0.053926617,0.771029536,10
149,0.706542969,20,1,0.253884241,4.147905586,-2.786366033,-2.328252489,-1.955029175,1.731612551,-0.916050391,1.135192791,-0.053926617,0.771029536,10
150,0.072265625,20,0.1,-1.29601187,4.337418459,2.110972633,-2.709804876,1.094826182,0.654543542,-2.058405954,-0.339731702,-0.652453436,-1.141352978,10
151,0.143359375,20,0.2,-1.29601187,4.337418459,2.110972633,-2.709804876,1.094826182,0.654543542,-2.058405954,-0.339731702,-0.652453436,-1.141352978,10
152,0.214746094,20,0.3,-1.29601187,4.337418459,2.110972633,-2.709804876,1.094826182,0.654543542,-2.058405954,-0.339731702,-0.652453436,-1.141352978,10
153,0.280078125,20,0.4,-1.29601187,4.337418459,2.110972633,-2.709804876,1.094826182,0.654543542,-2.058405954,-0.339731702,-0.652453436,-1.141352978,10
154,0.359863281,20,0.5,-1.29601187,4.337418459,2.110972633,-2.709804876,1.094826182,0.654543542,-2.058405954,-0.339731702,-0.652453436,-1.141352978,10
155,0.420410156,20,0.6,-1.29601187,4.337418459,2.110972633,-2.709804876,1.094826182,0.654543542,-2.058405954,-0.339731702,-0.652453436,-1.141352978,10
156,0.498681641,20,0.7,-1.29601187,4.337418459,2.110972633,-2.709804876,1.094826182,0.654543542,-2.058405954,-0.339731702,-0.652453436,-1.141352978,10
157,0.567578125,20,0.8,-1.29601187,4.337418459,2.110972633,-2.709804876,1.094826182,0.654543542,-2.058405954,-0.339731702,-0.652453436,-1.141352978,10
158,0.604248047,20,0.9,-1.29601187,4.337418459,2.110972633,-2.709804876,1.094826182,0.654543542,-2.058405954,-0.339731702,-0.652453436,-1.141352978,10
159,0.709472656,20,1,-1.29601187,4.337418459,2.110972633,-2.709804876,1.094826182,0.654543542,-2.058405954,-0.339731702,-0.652453436,-1.141352978,10
160,0.069921875,20,0.1,0.803637464,4.088596537,-2.732050808,-2.634427658,-1.660224575,-1.050336029,-0.283983561,1.446698557,1.290039265,0.732050808,10
161,0.144921875,20,0.2,0.803637464,4.088596537,-2.732050808,-2.634427658,-1.660224575,-1.050336029,-0.283983561,1.446698557,1.290039265,0.732050808,10
162,0.208300781,20,0.3,0.803637464,4.088596537,-2.732050808,-2.634427658,-1.660224575,-1.050336029,-0.283983561,1.446698557,1.290039265,0.732050808,10
163,0.285546875,20,0.4,0.803637464,4.088596537,-2.732050808,-2.634427658,-1.660224575,-1.050336029,-0.283983561,1.446698557,1.290039265,0.732050808,10
164,0.361816406,20,0.5,0.803637464,4.088596537,-2.732050808,-2.634427658,-1.660224575,-1.050336029,-0.283983561,1.446698557,1.290039265,0.732050808,10
165,0.425097656,20,0.6,0.803637464,4.088596537,-2.732050808,-2.634427658,-1.660224575,-1.050336029,-0.283983561,1.446698557,1.290039265,0.732050808,10
166,0.490478516,20,0.7,0.803637464,4.088596537,-2.732050808,-2.634427658,-1.660224575,-1.050336029,-0.283983561,1.446698557,1.290039265,0.732050808,10
